East,North,-101_count
558262.600134105,6122104.324010043,4.0
558260.9811750564,6122093.688561393,12.0
558262.8613615469,6122125.98036031,8.0
558262.4556076415,6122147.627946719,4.0
558262.4737926584,6122137.01400996,16.0
558262.2373338824,6122168.853430387,8.0
558261.8669941219,6122210.880702661,4.0
558261.9150164208,6122221.070943524,8.0
558261.8589872079,6122262.253215219,4.0
558262.1267454453,6122241.877513063,12.0
558262.078725422,6122231.687271888,12.0
558261.9322337081,6122252.064567289,8.0
558262.4628579849,6122313.209205611,8.0
558262.4446599238,6122323.8231450515,8.0
558262.3107764658,6122334.010997236,4.0
558261.8247151221,6122375.61219199,8.0
558261.7388384228,6122395.99028839,4.0
558261.6912755832,6122418.067157745,4.0
558261.3446686418,6122449.056009584,20.0
558260.8273279566,6122479.193484581,12.0
558248.5229319279,6122492.617951131,4.0
558238.1441511114,6122493.33073014,4.0
558206.1924608967,6122492.911104367,16.0
558217.0395480094,6122493.478101939,4.0
558195.1084262605,6122491.916455812,12.0
558132.4899784595,6122485.57553313,12.0
558184.8731990643,6122490.932975339,4.0
558174.4560794835,6122489.947131719,16.0
558163.9783262954,6122488.960517138,12.0
558143.0283747031,6122486.562868358,12.0
558153.5667667349,6122487.550228662,8.0
558121.8965138211,6122484.162934073,36.0
558111.3581081287,6122483.175649147,4.0
558090.3474759444,6122480.777454925,12.0
558100.8252615215,6122481.763895258,16.0
558080.0515748695,6122479.793422318,12.0
558053.3649984096,6122466.282308761,20.0
558060.1711609934,6122474.438210765,20.0
558050.8913226576,6122456.0603125375,4.0
558050.6786459374,6122435.253752804,24.0
558069.4636423797,6122477.956454699,8.0
558052.6486603918,6122414.4757746095,12.0
558051.9033932455,6122425.08018622,4.0
558050.1208338288,6122445.436052643,36.0
558053.7092290714,6122393.685888574,12.0
558053.2726690792,6122403.869775381,12.0
558054.2175384852,6122382.65380788,8.0
558055.7313590695,6122350.406555075,8.0
558055.1735310272,6122360.588853183,4.0
558056.791947745,6122329.616671526,4.0
558056.2947476817,6122339.799763198,16.0
558057.3002669809,6122318.58459211,12.0
558057.8085878527,6122307.552512912,8.0
558059.400783273,6122264.69212203,20.0
558059.2618100465,6122275.304470498,12.0
558058.4988065633,6122296.522815924,12.0
558058.880307806,6122285.913643126,4.0
558059.4129321325,6122254.502679629,4.0
558055.2308589243,6122189.489211211,4.0
558058.4641085197,6122211.184450146,12.0
558059.5089784063,6122233.275601451,8.0
558059.4195213947,6122244.737731304,16.0
558051.9809001759,6122169.067457148,8.0
558040.170228054,6122098.4347744705,28.0
558121.0414693261,6122091.427377328,4.0
558069.2592813878,6122090.748889766,4.0
558100.5468802113,6122091.158770119,4.0
558110.9760794862,6122091.295445972,4.0
558142.9362265489,6122091.289873395,8.0
558164.527812801,6122091.148500403,12.0
558153.7348030634,6122091.006926871,4.0
558196.0196044141,6122089.863465687,4.0
558185.5848298258,6122090.1510835625,20.0
558206.5150157438,6122089.576668363,4.0
558227.6821739766,6122089.430030834,12.0
558216.7072543353,6122089.285915156,20.0
558175.144487387,6122090.863219732,12.0
558247.2003320975,6122094.781201629,4.0
558253.0254263867,6122103.773636531,4.0
558255.4382268722,6122113.994945334,8.0
558256.1420961315,6122125.0429355595,12.0
558255.8081642411,6122145.842331555,8.0
558256.0632928698,6122135.656075367,20.0
558255.2518506243,6122178.951250287,12.0
558255.1786237583,6122189.139897162,8.0
558254.844691381,6122209.939295096,8.0
558253.8862576403,6122241.344665065,12.0
558253.6199771625,6122252.379910458,4.0
558254.3400150384,6122229.887316074,8.0
558253.0323625831,6122274.025111321,4.0
558253.6341611898,6122338.991787768,12.0
558253.7791802416,6122327.954947684,4.0
558253.9848309229,6122316.918904448,8.0
558253.6104046678,6122350.03022137,4.0
558253.5628892814,6122372.1070890995,8.0
558253.5866473647,6122361.068655147,12.0
558253.5284795923,6122416.261623335,24.0
558253.7210231177,6122383.14791325,8.0
558253.636632272,6122394.185550879,28.0
558253.5522409481,6122405.223188681,4.0
558253.3228265678,6122427.297668137,8.0
558252.6690009192,6122449.3665716015,8.0
558252.8746530884,6122438.330526435,12.0
558252.4138745682,6122459.552832433,12.0
558252.0981189088,6122469.73829676,4.0
558233.2917548927,6122470.340359538,16.0
558235.026296099,6122481.4018911,4.0
558233.249264201,6122459.72562177,12.0
558250.3272541037,6122479.904641704,4.0
558233.5336364837,6122438.076431203,12.0
558233.9448448921,6122416.004340221,12.0
558233.9567561705,6122373.547782618,20.0
558233.9574056845,6122405.81489358,12.0
558233.9149109181,6122395.20015679,12.0
558234.3735380063,6122351.051199802,12.0
558234.2285661323,6122362.088040584,12.0
558234.4153788671,6122329.398826988,32.0
558234.7603763278,6122307.750436897,8.0
558234.3366152393,6122340.011969974,24.0
558234.6209813993,6122318.362783132,48.0
558233.8117842387,6122384.584623759,24.0
558235.0022387963,6122275.486516087,44.0
558235.0203675979,6122264.872577684,68.0
558234.8572690359,6122286.523355669,24.0
558234.7785069435,6122297.136497992,24.0
558234.9172303348,6122254.257046615,44.0
558234.898426355,6122232.603880412,44.0
558234.8803002374,6122243.21781832,32.0
558235.055942853,6122211.377597878,28.0
558234.9165517282,6122221.989942653,40.0
558235.3291489845,6122190.577402584,28.0
558235.3110249536,6122201.191339855,16.0
558235.402330333,6122180.388755645,24.0
558235.1960391572,6122159.1576962685,36.0
558235.4148774417,6122170.199312446,4.0
558235.3166087486,6122126.892189523,20.0
558235.2685172514,6122116.701950721,48.0
558235.1591012226,6122148.118469487,24.0
558235.2322796914,6122137.929823165,40.0
558235.0385207218,6122106.509322867,4.0
558220.0017987669,6122101.641614824,12.0
558232.9839025065,6122096.717297507,52.0
558223.857390527,6122122.071456958,16.0
558224.2937605607,6122153.495142001,40.0
558224.1599724108,6122163.6829923075,8.0
558224.5543914237,6122142.884390585,24.0
558223.8868211375,6122184.483187177,8.0
558224.0868178693,6122173.871639027,8.0
558223.8136660049,6122194.67183419,24.0
558223.7405104438,6122204.860481364,24.0
558223.3886262086,6122236.273818894,52.0
558223.6011467046,6122215.472826227,8.0
558223.5279904128,6122225.661473704,12.0
558222.9649580267,6122268.535349247,28.0
558223.1043227266,6122257.923003571,20.0
558223.1830545081,6122247.309861814,8.0
558222.5287613642,6122310.986326081,20.0
558222.7468603117,6122289.760837339,16.0
558222.8862254829,6122279.148491341,4.0
558222.4500272976,6122321.599468821,24.0
558222.6074949773,6122300.373183512,4.0
558222.2263516947,6122343.2494524,24.0
558222.0207791443,6122354.285497026,16.0
558222.3050865356,6122332.636309342,20.0
558221.4096369088,6122386.969138079,8.0
558221.2646955549,6122398.005979645,16.0
558221.0646981531,6122408.617531236,4.0
558220.9859616864,6122419.230675453,12.0
558220.4521744149,6122450.641634005,4.0
558220.9072247655,6122429.843819844,32.0
558220.1364922374,6122460.827100022,8.0
558219.5176622687,6122471.008585113,4.0
558217.1461516821,6122480.742486769,4.0
558207.3728202076,6122449.196186535,4.0
558207.6389897609,6122438.160936025,8.0
558208.4096337022,6122407.177655207,12.0
558208.0759036969,6122427.97706173,8.0
558207.04602124,6122460.230641184,8.0
558208.2702971876,6122417.79000338,4.0
558208.6758049412,6122396.142405396,8.0
558209.2645604098,6122365.156738345,4.0
558208.9970340038,6122385.532445747,20.0
558209.6700694343,6122343.509142035,8.0
558209.9362424541,6122332.473893268,20.0
558209.4701015886,6122354.120693156,20.0
558210.0205206808,6122321.436256465,16.0
558210.0441665384,6122310.397823753,12.0
558210.0071795735,6122299.358595154,28.0
558210.1039526738,6122278.131514394,44.0
558210.0914559126,6122288.320958872,24.0
558210.1840033364,6122258.177915764,4.0
558210.0502429013,6122268.365767814,36.0
558210.5852837402,6122227.614360483,4.0
558210.2571308771,6122247.989267785,28.0
558210.3908908723,6122237.801416025,36.0
558210.7190435742,6122217.426509035,8.0
558210.8528032579,6122207.238657724,12.0
558211.1809557555,6122186.86375163,8.0
558211.0471962331,6122197.05160264,8.0
558211.2540814074,6122176.675104705,28.0
558211.2665727715,6122166.485661839,8.0
558211.4609654242,6122156.298607354,16.0
558211.787773062,6122145.26415766,12.0
558212.1090081288,6122134.6542019155,4.0
558201.8637951908,6122120.50899347,28.0
558212.8616028855,6122114.284870614,8.0
558212.4853050248,6122124.469536181,8.0
558200.7353473466,6122109.455441274,12.0
558203.9008181259,6122099.307388828,4.0
558202.209562491,6122131.127704999,28.0
558202.1859497586,6122142.166134772,4.0
558201.7916357178,6122162.964737807,40.0
558202.0522129094,6122152.353985265,32.0
558201.7555515198,6122184.192610949,8.0
558201.773593991,6122173.57867429,12.0
558201.0770438415,6122226.640399698,12.0
558201.5500354873,6122195.228653718,24.0
558200.4401985626,6122247.435821539,20.0
558200.822039953,6122236.826659564,16.0
558200.0639305484,6122257.620489866,16.0
558201.2163541974,6122216.028054296,12.0
558199.9301933896,6122267.808342078,36.0
558199.4434006703,6122318.749993154,28.0
558199.3096621922,6122328.937846253,8.0
558199.3027590156,6122338.7027974725,4.0
558199.1523025725,6122350.164132558,16.0
558198.4905107344,6122391.338449803,4.0
558198.9510275323,6122370.116141859,4.0
558198.6960260103,6122380.302403873,8.0
558198.4062568488,6122402.376087751,4.0
558198.3039504945,6122424.027666148,12.0
558198.2858977602,6122434.641606596,4.0
558198.3275749878,6122412.989231936,4.0
558198.207214237,6122445.2547512725,4.0
558198.1341028238,6122455.443402157,8.0
558197.6903031315,6122475.392230799,16.0
558190.5812421418,6122467.232136967,16.0
558190.9204649943,6122446.008234517,12.0
558191.3753765651,6122425.210418326,4.0
558190.659908742,6122456.618991935,16.0
558191.8358610815,6122403.988108841,16.0
558191.635933919,6122414.59966142,8.0
558192.1514780041,6122393.802642038,20.0
558192.2907748178,6122383.190293951,12.0
558191.24722371,6122434.973779151,8.0
558192.3694404297,6122372.5771502005,8.0
558192.5031649217,6122362.38929635,12.0
558192.5762579453,6122352.200646811,8.0
558192.5998627241,6122341.1622138,8.0
558192.5022034826,6122330.122189292,8.0
558192.5258063991,6122319.08375663,20.0
558192.6762441437,6122307.622421947,8.0
558192.8391393622,6122285.971643033,24.0
558192.9840045111,6122274.934802741,20.0
558193.0682369579,6122263.897166787,12.0
558192.8427489435,6122221.012943687,12.0
558192.9223929467,6122242.666903899,16.0
558192.8853572953,6122231.6276767915,8.0
558193.0000627479,6122199.786661273,24.0
558192.9043665355,6122253.280841515,40.0
558192.8607728153,6122210.399006565,12.0
558193.2661912113,6122188.751414001,8.0
558194.1006223236,6122134.417801183,4.0
558193.9062702405,6122144.604855864,8.0
558194.173705663,6122124.229154976,16.0
558193.6584606724,6122103.418615081,8.0
558194.3129947073,6122113.616811008,20.0
558185.3577172944,6122098.214873367,24.0
558180.5909533455,6122128.721134987,4.0
558180.2024853808,6122107.487694457,8.0
558180.7480185926,6122149.1024060175,4.0
558180.790844612,6122118.109586382,4.0
558180.7300282507,6122159.716342061,8.0
558179.5430970324,6122213.1961967815,28.0
558179.7429885868,6122202.584646864,12.0
558179.1240390182,6122254.373690366,44.0
558179.4700420944,6122223.384844318,16.0
558179.2577277704,6122244.1858380325,20.0
558178.565922508,6122264.555973378,36.0
558176.8198112338,6122295.951015769,8.0
558176.8984345457,6122285.33787329,24.0
558177.2802192856,6122274.72870908,12.0
558176.590790966,6122318.025493358,4.0
558176.2405064249,6122340.098380423,4.0
558176.033765227,6122360.474883753,12.0
558176.4459645246,6122329.062334608,8.0
558176.6749852959,6122306.9878566675,24.0
558176.1068202992,6122350.2862342065,4.0
558175.7663919461,6122380.850592061,8.0
558175.9000786616,6122370.662737826,16.0
558175.6271347911,6122391.4629403725,20.0
558175.4328171285,6122401.649999304,8.0
558175.110382847,6122421.600419274,4.0
558174.8554352035,6122431.786683055,8.0
558175.2991300954,6122411.837853995,16.0
558167.999765219,6122464.388390029,24.0
558174.649977472,6122442.822730523,24.0
558174.510720091,6122453.435079789,20.0
558174.4432329551,6122463.199236861,16.0
558174.0008268503,6122473.807608472,8.0
558167.9750993164,6122443.159713559,4.0
558167.6899290554,6122432.541795785,4.0
558167.4047565996,6122421.923878209,8.0
558167.3014734699,6122411.308347298,8.0
558168.083947285,6122453.350750995,8.0
558167.8033635279,6122368.433663835,4.0
558167.6034950631,6122379.045216592,4.0
558167.9055133853,6122346.782087393,48.0
558167.9965219158,6122325.979499412,24.0
558167.9537398621,6122356.972327894,8.0
558167.8572859225,6122336.591847032,16.0
558168.3962573425,6122304.75639568,12.0
558168.6140965145,6122283.530906086,24.0
558168.8993978447,6122252.541262871,20.0
558168.7477624284,6122273.343053152,8.0
558168.5354931373,6122294.144048548,44.0
558169.0330630231,6122242.353410391,28.0
558168.7657325161,6122262.729115502,36.0
558169.2521579486,6122211.787467339,8.0
558169.1791267358,6122221.976114878,12.0
558169.0454621365,6122232.16396705,16.0
558169.3251887332,6122201.598819949,28.0
558169.6655460993,6122171.034469697,20.0
558169.677941514,6122160.8450273955,4.0
558169.4588526033,6122191.410968216,32.0
558169.6531499771,6122181.223912149,12.0
558169.8902021248,6122140.0440359805,4.0
558170.1754888598,6122109.05439915,12.0
558159.9740123993,6122096.183565995,16.0
558170.029433794,6122129.431691374,24.0
558169.4546944486,6122099.279905473,16.0
558158.0157662084,6122106.772049612,4.0
558159.9381382401,6122117.411436183,12.0
558161.9267030973,6122127.627125426,4.0
558162.6239926778,6122148.440047673,20.0
558162.3344256377,6122170.513725495,12.0
558162.76320735,6122137.827702819,56.0
558162.2063476836,6122180.27708322,16.0
558161.9390541177,6122200.652786746,24.0
558162.4847778426,6122159.052392689,32.0
558162.1333345025,6122190.465730313,48.0
558161.8660403576,6122210.841434137,64.0
558161.73239306,6122221.029286263,76.0
558161.5987456122,6122231.217138549,68.0
558161.4100338311,6122240.979701725,44.0
558161.2640035909,6122261.356997838,52.0
558161.331450266,6122251.592843572,44.0
558161.124786732,6122271.969344583,32.0
558160.991138394,6122282.157197618,36.0
558160.2566941662,6122333.520163543,16.0
558160.6632092732,6122302.532108731,16.0
558160.796857772,6122292.344255406,48.0
558160.4633600783,6122313.143660723,40.0
558160.0624136296,6122343.707222091,36.0
558159.746870637,6122353.892690017,32.0
558159.5525906357,6122364.079748864,24.0
558160.2690797021,6122323.330718963,48.0
558159.4133730704,6122374.692097201,16.0
558159.2067056176,6122395.068601828,24.0
558159.0068568477,6122405.680155259,16.0
558159.3403549229,6122384.8807471385,20.0
558158.6913160423,6122415.865624124,12.0
558158.0849509692,6122457.465238256,40.0
558158.4914678183,6122426.47717787,16.0
558158.1938202347,6122467.656275529,32.0
558158.4790789164,6122436.6666239435,44.0
558158.345429266,6122446.854479399,28.0
558151.5771392931,6122445.067426448,12.0
558151.7825396688,6122434.031378234,4.0
558151.4750557491,6122466.719005823,4.0
558156.0649617362,6122477.393390499,12.0
558151.49299883,6122456.105065405,20.0
558152.3393469935,6122391.581981798,4.0
558152.2552079643,6122402.619619907,4.0
558152.2372670228,6122413.233559526,16.0
558152.4234855438,6122380.544343861,4.0
558152.6523924393,6122358.469863802,8.0
558152.6758983271,6122347.4314311,4.0
558152.5076236161,6122369.506706098,8.0
558152.7600349651,6122336.393793861,12.0
558152.9338747794,6122313.894026005,8.0
558152.9048028068,6122325.356952091,16.0
558152.865184046,6122291.39107771,24.0
558152.9573779815,6122302.855594006,16.0
558153.070582259,6122280.355031939,16.0
558153.2196466024,6122236.626596274,32.0
558152.9963182696,6122258.276578604,12.0
558153.0940832535,6122269.316600473,20.0
558153.1410829021,6122247.239738065,4.0
558153.2982098502,6122226.013454633,8.0
558153.5406891118,6122184.409082074,4.0
558153.371147202,6122174.217253904,12.0
558153.5283290676,6122194.598524536,4.0
558153.3779376784,6122164.452305559,8.0
558153.2801625675,6122153.412285366,12.0
558153.2980867533,6122142.798349719,36.0
558153.5529797985,6122132.612089151,4.0
558143.1837346681,6122095.538786858,4.0
558151.7765699374,6122101.595413087,16.0
558153.3462872187,6122111.381037513,4.0
558135.1570846296,6122101.802037522,8.0
558153.758374176,6122121.576045882,4.0
558137.3276183105,6122112.02010019,12.0
558137.9160791488,6122122.641985856,8.0
558137.8431251467,6122132.830632149,8.0
558137.6681957684,6122164.670848494,16.0
558137.6984041509,6122143.867471162,12.0
558137.5717846294,6122185.897925207,20.0
558137.4988277154,6122196.086572436,12.0
558137.6503073642,6122175.284784304,20.0
558137.5471369904,6122206.276809953,20.0
558137.4135457706,6122216.4646624075,8.0
558137.2014294488,6122237.265656696,48.0
558137.3405874305,6122226.653310072,20.0
558137.9224427115,6122288.647703336,16.0
558137.0072048878,6122247.452714539,28.0
558137.4069782214,6122267.837166573,4.0
558137.7888469342,6122298.83555698,28.0
558137.8135090513,6122278.456669521,8.0
558137.7765148139,6122309.025000939,28.0
558137.0555108804,6122257.642952791,24.0
558137.5588205162,6122330.250491899,24.0
558137.7035502223,6122319.213649964,28.0
558137.4196571712,6122340.862840075,20.0
558137.6498481799,6122351.055464981,4.0
558137.637512608,6122361.244909707,4.0
558137.177289784,6122382.467221907,8.0
558136.9224299904,6122392.653486763,8.0
558137.3826521286,6122371.431174228,8.0
558136.5407427931,6122403.262655586,12.0
558136.0087595728,6122425.3331620395,16.0
